SAMPA EN	EXAMPLE (IN ENGLISH; IF ABSENT IN ENGLISH THEN EXAMPLE FROM FRENCH)	IPA	SAMPA FR	COMMENTS
CONSONANTS				
p	pen, spin, tip	p	p	
b	but, web	b	b	
t	two, sting, bet	t	t	
d	do, odd	d	d	
tS	chair, nature, teach	tʃ	tS	used in borrowings
dZ	gin, joy, edge	dʒ	dZ	used in borrowings
k	cat, kill, skin, queen, thick	k	k	
g	go, get, beg	ɡ	g	
f	fool, enough, leaf	f	f	
v	voice, have, of	v	v	
T	thing, breath	θ		
D	this, breathe	ð		
s	see, city, pass	s	s	
z	zoo, rose	z	z	
S	she, sure, emotion, leash	ʃ	S	
Z	pleasure, beige	ʒ	Z	
h	ham	h		
m	man, ham	m	m	
n	no, tin	n	n	
N	singer, ring	ŋ	N	
l	left, bell	l	l	
r	run, very	ɹ		
		ʁ	R	 
w	we	w	w	
j	yes	j	j	
W	what (some accents)	ʍ		
	champagne	ɲ	J	
	huit	ɥ	H	
	lettre	x	x	
VOWELS				
A	father	ɑ	A	
i	see	i	i	
I	city	ɪ		
E	bed	ɛ	E	
3`	bird	ɝ		
{	lad, cat, ran	æ		
Ar	arm	ɑɹ		
V	run, enough	ʌ		
O	law, caught	ɔ	O	
U	put	ʊ		
u	soon, through	u	u	
@	about	ə	@	
@`	winner	ɚ		
	patte	a	a	
	ses	e	e	
	sot	o	o	
	du	y	y	
	deux	ø	2	
	neuf	œ	9	
	vin	ɛ̃	e~	
	champs	ɑ̃	a~	
	bon	ɔ̃	o~	
	un	œ̃	9~	
DIPHTHONGS				
eI	day	eɪ		
aI	my	aɪ		
OI	boy	ɔɪ		
oU	no	oʊ		
aU	now	aʊ		
ir	near, here	iɹ		
er	hair, there	eɹ		
Ur	tour	ʊɹ		
ju	pupil	ju		
SPECIAL SYMBOLS				
"	Primary stress (placed before the stressed syllable), for example "happy" /"h{pi/	ˈ		
%	Secondary stress, for example "battleship" /"b{tl=%SIp/	ˌ		
.	Syllable separator	.		
=	Syllabic consonant, for example /"rIdn=/ for ridden	◌̩		
